timestamp;tag;duration;package_0;dram_0;core_0;nvidia_gpu_0
1685537467.58142;PCAM;6.303110599517822;293415569.0;6018539.0;284249211.0;236860
1685537473.8851833;PCAM;5.155626058578491;283320685.0;4742541.0;278211080.0;232787
1685537479.0414846;PCAM;5.190302610397339;286400024.0;4961535.0;281206251.0;233181
1685537484.2324514;PCAM;5.355118036270142;299114408.0;5193835.0;293758342.0;238101
1685537489.5882382;PCAM;6.031732559204102;374943132.0;5841537.0;368918917.0;276151
1685537495.6236844;PCAM;8.751209497451782;498779729.0;8531473.0;490018216.0;395602
1685537504.375575;PCAM;8.683342933654785;506735580.0;8731179.0;497984382.0;395735
1685537513.059572;PCAM;9.010624647140503;531814252.0;9505957.0;522651555.0;411567
1685537522.0708919;PCAM;9.360458612442017;573039060.0;9960790.0;563455161.0;430186
1685537531.4322739;PCAM;9.960401773452759;628361490.0;10662082.0;618162663.0;462593
1685537541.3933647;PCAM;11.564468622207642;647016898.0;11916840.0;635284568.0;534693
1685537552.9585965;PCAM;11.85533618927002;659196188.0;12609098.0;647055289.0;552138
1685537564.814638;PCAM;12.35324478149414;719624440.0;13656460.0;706898153.0;571737
1685537577.1686707;PCAM;13.223076820373535;797452609.0;14676171.0;783841987.0;617629
1685537590.3934867;PCAM;13.368111610412598;819655434.0;15111350.0;805835462.0;620001
1685537603.7622933;PCAM;15.086145877838135;825333031.0;16288045.0;809858217.0;702759
1685537618.8491166;PCAM;15.48274540901184;878473154.0;17040789.0;862567067.0;724277
1685537634.3326466;PCAM;15.74728512763977;880082525.0;17963699.0;863799424.0;739813
1685537650.080705;PCAM;16.525433778762817;968277551.0;19216320.0;951106269.0;771254
1685537666.6094482;PCAM;17.03002095222473;1026967586.0;19898509.0;1009227946.0;802133
1685537683.6401265;PCAM;18.203889846801758;988980928.0;19922495.0;970226520.0;857265
1685537701.844688;PCAM;18.527697801589966;1008715130.0;20982674.0;989559417.0;869649
1685537720.373133;PCAM;19.529306411743164;1108251313.0;23068545.0;1087887534.0;917143
1685537739.9058464;PCAM;20.33055353164673;1180823942.0;25780696.0;1159309593.0;958609
1685537760.2394145;PCAM;21.106438875198364;1240990719.0;26979667.0;1218646599.0;1003009
1685700781.0202777;PCAM;6.529708385467529;303346025.0;6520246.0;293447124.0;249757
1685700787.5506983;PCAM;5.536418914794922;314982897.0;5141772.0;309583192.0;243942
1685700793.0878315;PCAM;5.646991729736328;326042683.0;5512498.0;320453891.0;252935
1685700798.7355049;PCAM;5.779423713684082;343286963.0;5724289.0;337570853.0;258994
1685700804.515775;PCAM;5.6799633502960205;328690687.0;5817734.0;323018399.0;256160
1685700810.2024906;PCAM;8.737754821777344;476755006.0;8766518.0;468081016.0;391954
1685700818.940967;PCAM;8.92579960823059;511265353.0;9061622.0;502357845.0;402195
1685700827.8674605;PCAM;9.204622268676758;532399516.0;9891088.0;523123722.0;415987
1685700837.0727792;PCAM;9.368729829788208;557590431.0;10229283.0;548086548.0;427836
1685700846.4422097;PCAM;9.637024164199829;588683002.0;10661410.0;578900190.0;445403
1685700856.0798738;PCAM;11.942057609558105;675474162.0;12378387.0;663469188.0;548914
1685700868.0225945;PCAM;12.162027597427368;695501027.0;12902250.0;683254171.0;562424
1685700880.1853144;PCAM;12.20487642288208;696948656.0;13704982.0;684474505.0;564483
1685700892.3924274;PCAM;12.876154661178589;757038101.0;14772423.0;743857898.0;597192
1685700905.2692542;PCAM;12.950973272323608;765820732.0;15276206.0;752368252.0;600210
1685700918.2209315;PCAM;15.143612146377563;837224969.0;16532611.0;821864473.0;706547
1685700933.365215;PCAM;15.26109004020691;849329735.0;17056841.0;833761049.0;711082
1685700948.627008;PCAM;16.24065375328064;944657616.0;18525282.0;928056889.0;763684
1685700964.8692353;PCAM;16.26066279411316;932971122.0;19472790.0;916171421.0;758719
1685700981.1306074;PCAM;16.76768970489502;983856918.0;20203866.0;966527311.0;789816
1685700997.899002;PCAM;18.19784116744995;980948416.0;20516305.0;962392312.0;856046
1685701016.0975227;PCAM;18.76826047897339;1026339475.0;21550238.0;1007115891.0;883467
1685701034.8669858;PCAM;19.147215127944946;1063462487.0;23074404.0;1043611586.0;899064
1685701054.0149617;PCAM;20.601592779159546;1199994853.0;25345760.0;1178569737.0;972978
1685701074.6172478;PCAM;21.067429542541504;1249431677.0;26400445.0;1227477998.0;990659
